name;description;type;value
Beinschwingen rechts;Am Türrahmen abstützen, Bein locker vor und zurück pendeln;reps;15
Beinschwingen links;Seite wechseln, gleiche Bewegung;reps;15
Goblet Squat;Eine Hantel vor der Brust, tief, Fersen am Boden;reps;12
Ausfallschritt rechts;8 kg je Hand, Knie tief, Oberkörper aufrecht;reps;10
Ausfallschritt links;Seite wechseln, gleiche Bewegung;reps;10
Rumänisches Kreuzheben;8 kg je Hand, Hüfte zurück, Rücken gerade, Zug hinten;reps;12
Einbeinig Hip Raise;Ein Bein gestreckt, Hüfte hoch, oben 2 Sek halten;reps;12
Nordic Curls;Füße fixieren, langsam vorfallen, mit Händen abfangen;reps;6
Wadenheben rechts;Auf einer Stufe, volle Range, oben kurz halten;reps;15
Wadenheben links;Seite wechseln, gleiche Bewegung;reps;15
Copenhagen Plank r;Seitstütz, oberes Bein auf Stuhl, Hüfte hoch;time;0:20
Copenhagen Plank l;Seite wechseln, gleiche Position;time;0:20
Hüftbeuger rechts;Ausfallschritt, Hüfte nach vorn, Oberkörper aufrecht;time;0:45
Hüftbeuger links;Seite wechseln, gleiche Position;time;0:45
