name;description;type;value
Katze-Kuh;Vierfüßler, Rücken runden und durchhängen lassen, mit dem Atem;time;1:00
Tiefe Hocke;Fersen am Boden, Oberkörper aufrecht, leicht links/rechts wiegen;time;1:00
Kinn zurückziehen;Doppelkinn machen, Nacken lang, 5 Sek halten, nicht nicken;reps;10
Klimmzüge;2-3 Wiederholungen in Reserve lassen, nicht bis zum Versagen;reps;6
Liegestütze mit Plus;Brust zum Boden, oben Schultern aktiv nach vorn schieben;reps;12
Rudern Kurzhantel;8 kg, vorgebeugt, Ellbogen eng am Rumpf nach hinten;reps;15
Hip Raise;Rückenlage, Hüfte hoch drücken, oben 2 Sek halten;reps;15
Klimmzüge Satz 2;Jetzt ausgeruht, gleiche Ausführung, Reserve behalten;reps;6
Liegestütze Satz 2;Zweiter Satz, unten kurz halten statt federn;reps;12
Überkopfdrücken;8 kg je Hand, senkrecht drücken, nicht ins Hohlkreuz gehen;reps;12
Rudern Satz 2;Zweiter Satz, letzte Wiederholungen sollen schwer sein;reps;15
Y-Heben Bauchlage;Arme im Y, Daumen hoch, Brust und Arme vom Boden lösen;reps;12
Side Plank rechts;Unterarm unter der Schulter, Hüfte hoch, Körper gerade;time;1:00
Side Plank links;Seite wechseln, gleiche Position;time;1:00
Brustdehnung Türrahmen;Unterarme am Rahmen, Ellbogen schulterhoch, Brust nach vorn;time;1:00
Hamstring-Dehnung;Knie zusammen und durchgestreckt, Zehen anziehen, nach vorn;time;1:00
Couch Stretch rechts;Knie an die Wand, langsam aufrichten, Schultern zur Wand;time;1:00
Couch Stretch links;Seite wechseln, gleiche Position;time;1:00
